,molecule_chembl_id,Ki,units,data_validity_comment,max_phase,smiles
112,CHEMBL490264,1.718,nM,,,c1cc(CCNc2c3c(nc4ccccc24)CCCC3)cc(CCNc2c3c(nc4ccccc24)CCCC3)c1
113,CHEMBL445454,0.1359,nM,,,c1ccc2c(NCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)c3c(nc2c1)CCCC3
114,CHEMBL499224,0.1191,nM,,,OCCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
115,CHEMBL490060,0.162,nM,,,CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
116,CHEMBL489454,0.0118,nM,,,CN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
117,CHEMBL451277,0.223,nM,,,CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
118,CHEMBL482512,2.672,nM,,,c1ccc2c(NCCCCNCCCSc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
119,CHEMBL501587,20.88,nM,,,CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2
120,CHEMBL175949,5.15,nM,,,CC(=O)N(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
121,CHEMBL175555,3.99,nM,,,CN(CCCCSc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
122,CHEMBL179192,13.37,nM,,,CC(=O)N(CCCNc1c2c(nc3ccccc13)CCCC2)CCCSc1c2c(nc3ccccc13)CCCC2
123,CHEMBL338755,0.54,nM,,,CN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
124,CHEMBL507174,0.0847,nM,,,C=CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2
125,CHEMBL374184,109.0,nM,,,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3
126,CHEMBL3215768,1.91,nM,,,Cl.Cl.Cl.Cl.O=C(NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3
127,CHEMBL309490,85600.0,nM,,,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12
128,CHEMBL28,121600.0,nM,Outside typical range,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
129,CHEMBL150,92800.0,nM,,,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
130,CHEMBL50,38300.0,nM,,3.0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
131,CHEMBL164,37800.0,nM,,,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
132,CHEMBL31574,100200.0,nM,Outside typical range,2.0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12
133,CHEMBL151,65800.0,nM,,2.0,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
134,CHEMBL590031,24000.0,nM,,,CO[P@@]1(=O)CC[C@H]2COC(=O)C2=C(C)O1
135,CHEMBL592433,140000.0,nM,Outside typical range,,CO[P@]1(=O)CC[C@H]2COC(=O)C2=C(C)O1
136,CHEMBL592624,76000.0,nM,,,COC(=O)C1=C(C)OP(=O)(OC)CCC1
137,CHEMBL592857,310000.0,nM,Outside typical range,,COC(=O)C1=C(C)OP(=O)(OC)CC1
138,CHEMBL1025,6000.0,nM,,4.0,CC(C)OP(=O)(F)OC(C)C
139,CHEMBL599644,61.1,nM,,,CN(Cc1ccccc1)Cc1ccc(/C=C2\CCc3cc(OCCCCCN4CCCCC4)ccc3C2=O)cc1
140,CHEMBL590298,89300.0,nM,,,NC(=O)N1c2ccccc2Sc2ccccc21
141,CHEMBL606338,9360.0,nM,,,CNC(=O)N1c2ccccc2Sc2ccccc21
142,CHEMBL600230,1450000.0,nM,Outside typical range,,CCNC(=O)N1c2ccccc2Sc2ccccc21
143,CHEMBL592185,691000.0,nM,Outside typical range,,CC(C)NC(=O)N1c2ccccc2Sc2ccccc21
144,CHEMBL592674,400000.0,nM,Outside typical range,,CN(C)C(=O)N1c2ccccc2Sc2ccccc21
145,CHEMBL601282,16300.0,nM,,,CCN(CC)CCNC(=O)N1c2ccccc2Sc2ccccc21.Cl
146,CHEMBL605824,810.0,nM,,,CC(C)N(CCNC(=O)N1c2ccccc2Sc2ccccc21)C(C)C
147,CHEMBL589536,29400.0,nM,,,O=C(NCCN1CCCC1)N1c2ccccc2Sc2ccccc21
148,CHEMBL589563,620.0,nM,,,O=C(NCCN1CCCCC1)N1c2ccccc2Sc2ccccc21
149,CHEMBL430886,20.0,nM,,,[Br-].[Br-].c1cc[n+](CCCCCCCCCCC[n+]2ccccc2)cc1
150,CHEMBL1081810,140.0,nM,,,[Br-].[Br-].c1cc[n+](Cc2ccc3ccc(C[n+]4ccccc4)cc3c2)cc1
151,CHEMBL1087194,24.0,nM,,,CCOC(=O)c1cc2c(N)c3c(nc2nc1C)CCCC3
152,CHEMBL1642977,90.0,nM,,,CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1.[Br-].[Br-]
