,molecule_chembl_id,pKi,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
45,CHEMBL362752,8.219970872662662,426.11921204809005,0.30434782608695654,4,0,4,6,29,8,0,39.410000000000004,0.5031104326645138,4.319800000000003,3.4958575528801443,0,1,1,1,2,3,0,0,0
46,CHEMBL610242,8.349984047528162,583.0394319080899,0.30434782608695654,8,0,4,10,33,9,0,95.69,0.15980263839265849,4.377500000000003,3.8894494674880464,0,1,1,1,2,3,0,0,0
47,CHEMBL86031,7.0,380.22202024008993,0.4583333333333333,4,0,4,4,28,6,0,35.53,0.5475826149261793,4.4775000000000045,2.6105184264637877,0,2,2,2,0,2,0,1,1
48,CHEMBL313231,7.3799681048737025,366.20637017608993,0.43478260869565216,4,0,4,4,27,6,0,35.53,0.5601874947219133,4.435000000000004,2.590006000786415,0,2,2,2,0,2,0,1,1
49,CHEMBL313582,6.859995049380551,392.25840574808996,0.5,3,0,4,3,29,6,0,26.3,0.48449013936329505,5.4214000000000055,2.6559242880370633,0,2,2,2,0,2,0,1,1
50,CHEMBL87823,7.299988937677888,402.24275568408996,0.37037037037037035,3,0,4,3,30,7,0,26.3,0.3649630863616059,5.868100000000006,2.5049403457355375,0,1,1,3,0,3,0,1,1
51,CHEMBL432376,6.919987152892072,435.26421940009,0.4444444444444444,5,0,4,5,32,8,0,40.46,0.359976221150097,5.215200000000006,2.8259027398600107,0,1,1,2,1,3,0,1,1
52,CHEMBL87014,7.659952682338607,402.25398906409004,0.38461538461538464,4,0,4,4,30,7,0,34.89,0.4020767496939143,5.200420000000006,2.6740814597938947,0,1,1,2,1,3,0,1,1
53,CHEMBL418955,8.079981083971084,350.199428072,0.4090909090909091,4,0,4,4,26,6,0,38.5,0.646828867661836,4.681200000000004,2.120838080872252,0,1,1,2,1,3,0,1,1
54,CHEMBL93123,8.029978734171634,439.225977168,0.2857142857142857,5,1,5,5,33,7,0,58.370000000000005,0.3880051704085061,5.924900000000005,2.184511846026062,0,1,1,3,1,4,0,1,1
55,CHEMBL92463,7.590066876668706,336.183778008,0.38095238095238093,4,1,4,4,25,5,0,49.5,0.7511071391686511,4.378200000000004,2.194521506446913,0,1,1,2,1,3,0,1,1
56,CHEMBL328715,6.090000275786018,335.19976242,0.38095238095238093,4,1,4,4,25,6,0,41.3,0.7177861605744295,4.542000000000003,2.117037082330489,0,1,1,2,1,3,0,1,1
57,CHEMBL362350,6.470005326930858,332.21212425208995,0.36363636363636365,3,0,4,3,25,5,0,18.61,0.7405459854216904,4.4413000000000045,2.7745425043679113,0,2,2,2,0,2,0,1,1
58,CHEMBL359570,9.480040819247932,375.19467704000004,0.391304347826087,5,1,5,5,28,5,0,58.370000000000005,0.727199035165088,4.167200000000003,2.5258097689444057,0,2,2,2,1,3,0,1,1
59,CHEMBL187603,6.719991046891813,456.22030598809005,0.5,5,1,4,6,32,8,0,55.760000000000005,0.6064325412276071,4.097500000000004,3.882713234560609,0,2,2,2,0,2,0,1,1
60,CHEMBL360832,7.0499760934766735,442.20465592409005,0.48,5,1,4,6,31,7,0,55.760000000000005,0.6603575533305295,3.8515000000000033,3.6639938374588183,0,2,2,2,0,2,0,1,1
61,CHEMBL186090,6.119998611678231,438.20974130409,0.4230769230769231,4,0,4,5,31,7,0,35.53,0.4548816092582388,4.902700000000005,4.128905523919938,0,2,2,2,0,2,0,0,0
62,CHEMBL187591,4.519999959791458,398.21482668409,0.5,3,0,4,4,28,6,0,18.46,0.6257619843063745,5.167500000000005,3.437247367718774,0,2,2,2,0,2,0,1,1
63,CHEMBL188714,7.270025714300444,422.19957054408997,0.6363636363636364,6,0,3,7,29,8,0,61.83000000000001,0.47392180481844176,3.099500000000001,3.6739406420132337,0,2,2,1,0,1,0,1,1
64,CHEMBL187330,5.589999287456538,372.16279111209,0.42857142857142855,4,0,3,5,26,8,0,39.41,0.6637059053128864,3.6200000000000028,3.3743223732728325,0,1,1,1,1,2,0,0,0
65,CHEMBL189774,7.51999305704285,388.15770573208994,0.42857142857142855,5,0,3,6,27,9,0,48.64,0.618471810910422,2.8564000000000007,3.3946903714187178,0,1,1,1,1,2,0,0,0
66,CHEMBL186042,8.33998877871067,420.16279111209,0.28,4,0,4,5,30,8,0,39.410000000000004,0.5107327219108713,4.258300000000004,3.207357475010335,0,1,1,2,1,3,0,0,0
67,CHEMBL363455,6.620005959834258,346.14376992008994,0.18181818181818182,4,0,4,4,26,6,0,39.41,0.5059639072775126,3.566600000000003,2.3150672517014232,0,1,1,2,1,3,0,0,0
68,CHEMBL8320,6.019996628416253,108.021129368,0.0,2,0,1,2,8,0,0,34.14,0.4166812385860659,0.25059999999999993,2.3547041345107225,1,0,1,0,0,0,0,0,0
69,CHEMBL364729,5.777283528852417,243.86523996,0.0,2,0,1,6,12,0,0,34.14,0.48562385065624664,2.5166,2.778343560550484,1,0,1,0,0,0,0,0,0
70,CHEMBL192627,6.787812395596042,243.86523996,0.0,2,0,1,6,12,0,0,34.14,0.6150038675868632,2.5166,2.5906724343258354,1,0,1,0,0,0,0,0,0
71,CHEMBL208092,7.782516055786093,514.4035476,0.6176470588235294,4,4,5,4,38,10,0,62.97,0.22719999777354416,7.474100000000008,4.97105721229645,3,0,3,1,1,2,1,0,1
72,CHEMBL1255901,7.327902142064282,242.141913196,0.4,3,3,3,3,18,0,0,58.88,0.6835351502151038,1.9975,4.9405807467540575,2,0,2,0,1,1,0,0,0
73,CHEMBL210453,8.193820026016112,529.366827744,0.5882352941176471,5,2,5,5,39,11,0,63.25,0.1816447403389178,7.299900000000008,4.878068448885466,3,0,3,1,1,2,1,0,1
74,CHEMBL382423,7.804100347590766,486.372247472,0.59375,4,4,5,4,36,10,0,62.97,0.2541208317253745,6.838000000000006,4.843616856738036,3,0,3,1,1,2,1,0,1
75,CHEMBL536047,10.481486060122112,320.084703936,0.35294117647058826,2,2,4,4,21,0,0,38.91,0.7018342518422415,4.888200000000003,5.286652982733772,0,2,2,1,1,2,0,0,0
76,CHEMBL375126,4.31695296176115,305.00103388800005,0.06666666666666667,3,0,3,5,20,2,0,37.38,0.7929698176550005,3.722900000000002,1.839396289896932,0,1,1,2,0,2,0,0,0
77,CHEMBL222752,5.484126156288321,486.157957184,0.0967741935483871,6,0,6,6,37,6,0,74.76,0.36928737719766613,4.736400000000004,2.107843338868861,0,2,2,4,0,4,0,0,0
78,CHEMBL222856,6.982966660701219,756.503715136,0.6190476190476191,12,2,2,12,54,27,0,140.15999999999997,0.07391402158384468,6.801400000000007,2.895638619380483,0,0,0,2,0,2,0,0,0
79,CHEMBL385130,7.913640169325252,784.5350152640001,0.6363636363636364,12,2,2,12,56,29,0,140.15999999999997,0.06269824851929852,7.581600000000008,3.0017222873610825,0,0,0,2,0,2,0,0,0
80,CHEMBL222904,8.246416941107093,780.5037151360001,0.6363636363636364,12,2,4,12,56,21,0,140.15999999999997,0.10273162113581401,6.801400000000007,3.0849664036056774,0,2,2,2,0,2,0,2,2
81,CHEMBL225567,10.853871964321762,502.24993942000003,0.4,5,3,5,6,36,11,0,69.81,0.19385868736713222,6.969600000000006,2.5430208249930555,1,0,1,2,2,4,0,0,0
82,CHEMBL223443,10.823908740944319,502.24993942000003,0.4,5,3,5,6,36,11,0,69.81,0.19385868736713222,6.969600000000006,2.547919228476365,1,0,1,2,2,4,0,0,0
83,CHEMBL225326,10.698970004336019,580.160451488,0.4,5,3,5,7,37,11,0,69.81,0.1587595684455846,7.732100000000006,2.667902072824825,1,0,1,2,2,4,0,0,0
84,CHEMBL433282,6.070581074285707,253.037507704,0.0,5,0,3,5,19,1,0,77.28,0.44435788048357133,2.6408000000000005,1.9471342845985369,1,0,1,2,0,2,0,0,0
85,CHEMBL235289,6.044312249686494,272.006935848,0.0,8,0,3,8,20,2,0,120.42000000000002,0.4681250068474728,2.0351999999999997,2.4778081030837456,1,0,1,2,0,2,0,0,0
86,CHEMBL52347,6.494850021680094,158.036779432,0.0,2,0,2,2,12,0,0,34.14,0.5355314188299348,1.4652,2.0362374890096486,1,0,1,1,0,1,0,0,0
87,CHEMBL231160,8.585026652029182,632.430156272,0.5263157894736842,8,2,3,8,46,24,0,83.14,0.10361099994344834,6.2674000000000065,2.979695627159435,1,0,1,2,0,2,0,0,0
88,CHEMBL495711,5.719421629631924,402.205576072,0.2916666666666667,6,4,4,6,30,6,0,97.11,0.5905617557408396,2.7383000000000006,2.6348476606867273,1,0,1,2,1,3,0,0,0
89,CHEMBL522073,5.199282921717614,416.221226136,0.32,6,3,4,6,31,7,0,83.12,0.5529646166472741,2.9990000000000014,2.7016744668294486,1,0,1,2,1,3,0,0,0
90,CHEMBL496946,4.95116991347165,452.221226136,0.25,6,4,5,6,34,6,0,97.11,0.41344047918412097,3.8915000000000033,2.783384862643075,1,0,1,3,1,4,0,0,0
91,CHEMBL521874,5.384049948343598,414.205576072,0.32,6,3,5,6,31,4,0,83.12,0.6131007654880744,2.8828000000000005,2.916381584327336,1,1,2,2,1,3,0,0,0
92,CHEMBL495712,5.6548223834572955,441.21647510400004,0.2692307692307692,7,5,5,7,33,6,0,112.89999999999999,0.3679170998220897,3.2196000000000016,2.8551849817020933,1,0,1,2,2,4,0,0,0
93,CHEMBL496126,5.47755576649368,455.23212516800004,0.2962962962962963,7,4,5,7,34,7,0,98.91000000000001,0.3428886612320682,3.4803000000000024,2.9151051423633536,1,0,1,2,2,4,0,0,0
94,CHEMBL508778,5.098541678603888,555.284554664,0.375,9,4,5,9,41,8,0,125.21,0.23857606544471163,5.175700000000004,3.0609893172166096,1,0,1,2,2,4,0,0,0
95,CHEMBL496127,4.468138050904191,455.23212516800004,0.2962962962962963,7,5,5,7,34,7,0,112.89999999999999,0.34091619781826293,3.609700000000003,2.876351296209508,1,0,1,2,2,4,0,0,0
96,CHEMBL502244,6.886056647693163,527.2896400440001,0.3870967741935484,8,4,5,8,39,8,0,108.14,0.23391464436781165,5.259000000000004,3.049631984287359,1,0,1,2,2,4,0,0,0
97,CHEMBL525917,6.552841968657781,427.23721054800006,0.3076923076923077,6,5,5,6,32,7,0,95.83,0.3383308238677222,3.693000000000003,2.8803448460485193,1,0,1,2,2,4,0,0,0
98,CHEMBL504571,7.8124792791635365,693.400253112,0.475,11,5,6,11,51,13,0,146.37,0.10776350845834569,5.970500000000006,3.5326284976610065,2,0,2,2,2,4,0,0,0
99,CHEMBL397271,8.20690839982342,593.347823616,0.42857142857142855,9,6,6,9,44,12,0,134.06,0.1537568271348923,4.404500000000002,3.3436835789721897,2,0,2,2,2,4,0,0,0
100,CHEMBL451304,8.170696227168975,604.388960156,0.5,7,3,7,7,45,12,0,82.18,0.15413299546995066,6.815500000000007,3.370439518241879,2,1,3,2,2,4,0,1,1
101,CHEMBL129108,7.554395796726403,523.302119312,0.47058823529411764,3,1,6,4,38,11,0,37.81,0.1571039445299527,9.085400000000002,2.7412962907734624,2,0,2,2,2,4,0,0,0
102,CHEMBL481,7.296708621881338,586.279134936,0.5151515151515151,10,1,7,10,43,4,0,114.2,0.35595556922918214,4.0911000000000035,3.6325604418224557,0,4,4,1,2,3,0,2,2
103,CHEMBL464538,8.0,564.1350880360001,0.37037037037037035,3,0,2,5,32,12,0,17.07,0.24653351228069167,-0.6650999999999925,3.5146383034819095,0,0,0,2,0,2,0,0,0
104,CHEMBL360055,4.431798275933005,510.46182204027,0.8,6,0,1,6,36,21,0,27.69,0.2058221894673444,5.452500000000005,3.257653489581986,0,0,0,1,0,1,0,0,0
105,CHEMBL490660,8.787812395596042,526.309647216,0.3333333333333333,4,2,7,4,40,8,0,49.84,0.21614474531816513,7.849800000000007,2.5857860842942646,2,0,2,3,2,5,0,0,0
106,CHEMBL507438,8.127843727251706,540.3252972800001,0.35135135135135137,4,2,7,4,41,8,0,49.84,0.20845710403971132,8.158220000000005,2.7739893018797517,2,0,2,3,2,5,0,0,0
107,CHEMBL522286,7.877129077135565,516.288911772,0.35294117647058826,5,2,7,5,39,8,0,62.980000000000004,0.22434293726903512,7.442800000000006,3.0028306990822866,2,0,2,2,3,5,0,0,0
108,CHEMBL521935,9.114638779968487,527.3048961840001,0.34285714285714286,5,2,7,5,40,8,0,62.730000000000004,0.2226169798091738,7.244800000000007,2.7873921305534033,2,0,2,2,3,5,0,0,0
109,CHEMBL490264,8.764976840504776,526.309647216,0.3333333333333333,4,2,7,4,40,8,0,49.84,0.21614474531816513,7.849800000000007,2.676583305311759,2,0,2,3,2,5,0,0,0
110,CHEMBL445454,9.866780543267506,562.3783954720001,0.5,6,2,7,6,42,10,0,56.32,0.21640147797793424,6.462400000000007,2.763952782105642,2,1,3,2,2,4,0,1,1
111,CHEMBL499224,9.924088238517223,551.36241106,0.4857142857142857,6,3,6,6,41,13,0,73.31,0.16416936136278895,6.529200000000007,2.8691237281092583,2,0,2,2,2,4,0,0,0
112,CHEMBL490060,9.790484985457368,535.3674964400001,0.4857142857142857,5,2,6,5,40,12,0,53.08,0.18341000034932303,7.556800000000008,2.806802561937486,2,0,2,2,2,4,0,0,0
113,CHEMBL489454,10.928117992693874,521.351846376,0.47058823529411764,5,2,6,5,39,11,0,53.08,0.20502700242439606,7.166700000000008,2.7746960836976715,2,0,2,2,2,4,0,0,0
114,CHEMBL451277,9.65169513695184,549.3467609960001,0.45714285714285713,6,2,6,6,41,11,0,70.15,0.19564408171889763,7.083400000000007,2.860784070151718,2,0,2,2,2,4,0,0,0
115,CHEMBL482512,8.573163546196492,524.29736828,0.45454545454545453,4,2,6,5,38,11,0,49.84,0.15708296877674965,7.504700000000008,2.8021185579799415,2,0,2,2,2,4,0,0,0
116,CHEMBL501587,7.680269505669775,566.307932964,0.45714285714285713,5,1,6,6,41,11,0,58.120000000000005,0.1484916386919722,7.763600000000008,2.9506170008573758,2,0,2,2,2,4,0,0,0
117,CHEMBL175949,8.288192770958808,566.3079329640001,0.45714285714285713,5,1,6,6,41,11,0,58.120000000000005,0.1484916386919722,7.763600000000007,2.9434192894778466,2,0,2,2,2,4,0,0,0
118,CHEMBL175555,8.399027104313252,538.313018344,0.47058823529411764,4,1,6,5,39,11,0,41.050000000000004,0.1555447759590316,7.846900000000008,2.8608931659257877,2,0,2,2,2,4,0,0,0
